 #         t_pb[s]     Dh+(pole)[cm]     Dhx(pole)[cm]      Dh+(equ)[cm]      Dhx(equ)[cm]
      -9.38949E-03      -3.89534E-11      -1.07534E-11       1.23843E+00       0.00000E+00
      -8.38749E-03       2.43994E-11       2.82695E-11       1.38264E+00       0.00000E+00
      -7.38549E-03       1.11295E-11      -2.44217E-11       1.56004E+00       0.00000E+00
      -6.38349E-03       6.42096E-12       2.96300E-11       1.79234E+00       0.00000E+00
      -5.38149E-03       6.84891E-12      -5.21540E-11       2.09068E+00       0.00000E+00
      -4.82349E-03      -3.84331E-11       4.96549E-11       2.39271E+00       0.00000E+00
      -4.62193E-03      -2.55363E-10       3.69363E-12       2.36343E+00       0.00000E+00
      -4.42038E-03       3.21332E-10       1.12798E-10       2.81099E+00       0.00000E+00
      -4.21882E-03      -2.63875E-10      -2.59964E-12       2.88128E+00       0.00000E+00
      -4.01727E-03       1.19169E-10      -2.35124E-10       2.88621E+00       0.00000E+00
      -3.81571E-03       2.42595E-10       3.12768E-10       3.01132E+00       0.00000E+00
      -3.61415E-03      -2.12802E-11      -6.97401E-11       3.23479E+00       0.00000E+00
      -3.41260E-03       1.40450E-10      -3.96828E-11       3.34790E+00       0.00000E+00
      -3.21104E-03      -2.00034E-10       1.25160E-10       3.48791E+00       0.00000E+00
      -3.00949E-03      -3.02179E-10      -1.14513E-10       3.66040E+00       0.00000E+00
      -2.80793E-03      -3.83045E-11      -3.55480E-11       3.92369E+00       0.00000E+00
      -2.60790E-03       4.76028E-10      -3.37051E-11       4.03002E+00       0.00000E+00
      -2.40788E-03       2.35870E-10       1.25851E-10       4.40873E+00       0.00000E+00
      -2.20785E-03      -6.30415E-10      -9.69508E-12       4.63431E+00       0.00000E+00
      -2.00782E-03       6.86165E-11      -5.16841E-11       4.79563E+00       0.00000E+00
      -1.80779E-03       3.47372E-10       1.30244E-10       5.05277E+00       0.00000E+00
      -1.60776E-03      -4.24565E-10      -4.88098E-13       5.59972E+00       0.00000E+00
      -1.40761E-03       2.44302E-10       1.52652E-10       6.13025E+00       0.00000E+00
      -1.20759E-03       9.00593E-11      -1.49030E-10       6.80122E+00       0.00000E+00
      -1.00756E-03      -2.70178E-10      -2.56586E-10       7.81313E+00       0.00000E+00
      -8.07529E-04      -6.86165E-11       1.93945E-11       9.17911E+00       0.00000E+00
      -4.07460E-04      -5.36058E-11       2.81283E-11       1.31179E+01       0.00000E+00
      -1.21960E-04       1.47228E-10       5.91934E-11       2.20659E+01       0.00000E+00
       2.78200E-04      -1.64319E-03      -4.94891E-03      -7.18633E+00       0.00000E+00
       6.78400E-04       3.86240E-04       2.80042E-03      -1.93643E+01       0.00000E+00
       1.07860E-03      -9.67146E-04       4.38329E-04       7.34066E+00       0.00000E+00
       1.47880E-03       3.39594E-03       1.00424E-03       1.05933E+01       0.00000E+00
