 #         t_pb[s]        <L_e>[B/s]       <L_ae>[B/s]        <L_x>[B/s]        <E_e>[MeV]       <E_ae>[MeV]        <E_x>[MeV]    L_e(pole)[B/s]   L_ae(pole)[B/s]    L_x(pole)[B/s]    E_e(pole)[MeV]   E_ae(pole)[MeV]    E_x(pole)[MeV]     L_e(equ)[B/s]    L_ae(equ)[B/s]     L_x(equ)[B/s]     E_e(equ)[MeV]    E_ae(equ)[MeV]     E_x(equ)[MeV]
  -1.299075484E-01   1.923527150E-10   1.923527150E-10   1.923527150E-10   1.585352477E+01   1.585352477E+01   1.585352477E+01   1.923669441E-10   1.923669441E-10   1.923669441E-10   1.585352569E+01   1.585352569E+01   1.585352569E+01   1.923024983E-10   1.923024983E-10   1.923024983E-10   1.583690924E+01   1.583690924E+01   1.583690924E+01
  -1.289055347E-01   5.914586056E-02   6.091325613E-09   1.327617025E-09   5.261650809E+00   6.650995651E+00   6.316758028E+00   6.207672935E-02   5.588654798E-09   1.195594443E-09   5.275231761E+00   7.104872354E+00   6.759439004E+00   6.272385036E-02   4.965656000E-09   1.122129837E-09   5.278255033E+00   7.727366099E+00   7.308754601E+00
  -1.279035360E-01   1.353193441E-01   2.441440010E-08   5.048567837E-09   5.295486338E+00   5.656374691E+00   5.158091047E+00   1.395434940E-01   2.323091173E-08   4.813051387E-09   5.310301942E+00   5.798722246E+00   5.234461165E+00   1.405922397E-01   2.298300228E-08   4.676852731E-09   5.329941862E+00   5.780177303E+00   5.296406525E+00
  -1.269015372E-01   1.258093596E-01   3.962199644E-08   8.102715598E-09   5.214926569E+00   5.117472018E+00   4.679471554E+00   1.324665376E-01   3.917591847E-08   8.176503730E-09   5.222343642E+00   5.161571224E+00   4.708093794E+00   1.310064471E-01   3.925306808E-08   7.995091960E-09   5.203858177E+00   5.183522248E+00   4.709487351E+00
  -1.258995384E-01   1.094780470E-01   5.246704780E-08   1.057369564E-08   5.166579970E+00   4.758420128E+00   4.384842437E+00   1.096874376E-01   5.206215246E-08   1.044087207E-08   5.177718919E+00   4.775363049E+00   4.422171136E+00   1.128074022E-01   5.245778271E-08   1.050120274E-08   5.195128718E+00   4.791057965E+00   4.419015323E+00
  -1.248975396E-01   9.730260144E-02   6.589392975E-08   1.325441296E-08   5.154221764E+00   4.774041524E+00   4.462519773E+00   9.906023847E-02   6.572374042E-08   1.319467827E-08   5.157019377E+00   4.776846552E+00   4.488122174E+00   9.556780940E-02   6.473571051E-08   1.308788410E-08   5.128844090E+00   4.789281458E+00   4.495908095E+00
  -1.238955408E-01   8.808800368E-02   7.622030379E-08   1.540766028E-08   5.134139692E+00   4.828399366E+00   4.517776522E+00   8.965761135E-02   7.636102047E-08   1.525649296E-08   5.145973636E+00   4.863188837E+00   4.532522828E+00   9.141274651E-02   7.592856939E-08   1.526207878E-08   5.146520038E+00   4.890584389E+00   4.535590328E+00
  -1.228935421E-01   8.081549363E-02   7.481285641E-08   1.509616512E-08   5.096030153E+00   4.847914931E+00   4.524378299E+00   8.130896350E-02   7.344155072E-08   1.498285412E-08   5.070423303E+00   4.870157478E+00   4.568203986E+00   8.110911878E-02   7.365157696E-08   1.486485080E-08   5.102671856E+00   4.890045617E+00   4.573787685E+00
  -1.218915433E-01   7.446663616E-02   6.653709029E-08   1.342463273E-08   5.050555686E+00   4.841842238E+00   4.520374041E+00   7.752446041E-02   6.187061378E-08   1.278696501E-08   5.075747589E+00   4.850117925E+00   4.534057761E+00   7.483603215E-02   6.319092692E-08   1.302868350E-08   5.064655001E+00   4.852670742E+00   4.598861714E+00
  -1.208895445E-01   6.898163685E-02   5.886001080E-08   1.157976442E-08   5.006570941E+00   4.826501174E+00   4.427577089E+00   7.108794985E-02   5.584114999E-08   1.155095795E-08   5.011036620E+00   4.874751767E+00   4.625103597E+00   6.945243057E-02   5.476290529E-08   1.063173902E-08   5.006326478E+00   4.857754748E+00   4.445159881E+00
  -1.198875457E-01   6.418982049E-02   5.596394488E-08   1.121017304E-08   4.970198231E+00   4.823824055E+00   4.490867005E+00   6.708992404E-02   5.225816779E-08   1.000202588E-08   4.992429468E+00   4.872792890E+00   4.385726181E+00   6.519634445E-02   5.063909677E-08   9.985135078E-09   4.939592302E+00   4.871498591E+00   4.396891479E+00
