 #         t_pb[s]     Dh+(pole)[cm]     Dhx(pole)[cm]      Dh+(equ)[cm]      Dhx(equ)[cm]
      -9.66754E-03       9.41726E-12       1.34590E-11       1.78237E+00       0.00000E+00
      -8.66554E-03      -2.14029E-12      -3.09269E-11       1.98651E+00       0.00000E+00
      -7.66354E-03       1.41259E-11       4.23986E-12       2.23413E+00       0.00000E+00
      -6.66154E-03       2.22591E-11       1.95602E-11       2.54723E+00       0.00000E+00
      -5.65954E-03      -1.01022E-10      -2.13660E-11       2.95172E+00       0.00000E+00
      -4.80154E-03       6.99863E-11       2.55599E-11       3.44963E+00       0.00000E+00
      -4.59998E-03      -2.12802E-10       6.12145E-11       3.49072E+00       0.00000E+00
      -4.39843E-03       4.34117E-10      -8.60101E-11       4.16184E+00       0.00000E+00
      -4.19687E-03      -4.25605E-10      -1.19810E-10       4.26100E+00       0.00000E+00
      -3.99532E-03       5.02214E-10       2.94156E-10       4.27829E+00       0.00000E+00
      -3.79376E-03      -6.12871E-10      -1.56355E-10       4.46134E+00       0.00000E+00
      -3.59221E-03       4.21349E-10       1.21772E-10       4.76940E+00       0.00000E+00
      -3.39065E-03      -6.80969E-11      -2.09621E-10       4.94652E+00       0.00000E+00
      -3.18910E-03      -2.76643E-10       4.57953E-11       5.16121E+00       0.00000E+00
      -2.98754E-03       4.00069E-10      -1.18160E-10       5.41035E+00       0.00000E+00
      -2.78751E-03      -3.73103E-10       3.73102E-11       5.74219E+00       0.00000E+00
      -2.58748E-03      -2.10138E-10       1.81051E-10       6.08536E+00       0.00000E+00
      -2.38746E-03       5.10336E-10      -1.05610E-10       6.47529E+00       0.00000E+00
      -2.18743E-03       1.41522E-10       3.04787E-12       6.85193E+00       0.00000E+00
      -1.98740E-03       2.44446E-10       6.52641E-11       7.27946E+00       0.00000E+00
      -1.78737E-03      -5.91818E-10      -2.87551E-10       7.73027E+00       0.00000E+00
      -1.58734E-03       1.62965E-10       3.65879E-10       8.26499E+00       0.00000E+00
      -1.38719E-03       8.57204E-11      -2.59142E-10       8.88168E+00       0.00000E+00
      -1.18717E-03      -8.66285E-10       1.78544E-10       9.87300E+00       0.00000E+00
      -9.87138E-04       8.74862E-10      -9.04897E-11       1.12461E+01       0.00000E+00
      -5.86950E-04      -2.57229E-11       1.21805E-10       1.53193E+01       0.00000E+00
      -1.86920E-04      -1.99432E-10      -1.01745E-10       2.79040E+01       0.00000E+00
       2.13200E-04       1.28636E-11       5.26511E-11       3.66731E+00       0.00000E+00
