 #         t_pb[s]        <L_e>[B/s]       <L_ae>[B/s]        <L_x>[B/s]        <E_e>[MeV]       <E_ae>[MeV]        <E_x>[MeV]    L_e(pole)[B/s]   L_ae(pole)[B/s]    L_x(pole)[B/s]    E_e(pole)[MeV]   E_ae(pole)[MeV]    E_x(pole)[MeV]     L_e(equ)[B/s]    L_ae(equ)[B/s]     L_x(equ)[B/s]     E_e(equ)[MeV]    E_ae(equ)[MeV]     E_x(equ)[MeV]
  -2.931070700E-02   1.108219137E-01   4.151586041E-07   6.380958653E-08   6.597796837E+00   6.520435040E+00   5.969373045E+00   1.188354643E-01   4.271411823E-07   6.516833658E-08   6.721899504E+00   6.527969792E+00   6.042734634E+00   1.115113516E-01   4.470543631E-07   6.700920750E-08   6.645488127E+00   6.640939930E+00   5.980554680E+00
  -2.830870636E-02   1.166440444E-01   4.201534779E-07   6.475322883E-08   6.641537659E+00   6.526714793E+00   5.973374889E+00   1.189986218E-01   4.339774757E-07   6.389684290E-08   6.556084646E+00   6.604507364E+00   5.725477555E+00   1.178182947E-01   4.227077505E-07   6.588371399E-08   6.775213880E+00   6.561260811E+00   5.833038249E+00
  -2.730670758E-02   1.230266166E-01   4.257703775E-07   6.546678698E-08   6.693228089E+00   6.537556594E+00   5.978984469E+00   1.305576549E-01   4.466610409E-07   6.774819474E-08   6.700589116E+00   6.521126905E+00   5.989444425E+00   1.309919522E-01   4.493055751E-07   6.470356415E-08   6.664767744E+00   6.600450281E+00   5.770483154E+00
  -2.630470693E-02   1.298037388E-01   4.298792715E-07   6.596978429E-08   6.747042690E+00   6.545189339E+00   5.981276360E+00   1.320984504E-01   4.742721509E-07   7.283741906E-08   6.735459254E+00   6.442414853E+00   6.458447632E+00   1.388873869E-01   4.114089286E-07   6.613157345E-08   6.768855986E+00   6.530178396E+00   5.815507160E+00
  -2.530270629E-02   1.375525438E-01   4.335812598E-07   6.678585943E-08   6.798460412E+00   6.557421449E+00   6.020363010E+00   1.462306165E-01   4.523653290E-07   7.175987428E-08   6.889672330E+00   6.800641909E+00   6.136367235E+00   1.502332686E-01   4.428009109E-07   6.646903111E-08   7.117826069E+00   6.428121583E+00   5.999653657E+00
  -2.430070750E-02   1.454391590E-01   4.357592402E-07   6.689696785E-08   6.848823997E+00   6.569684528E+00   6.025177800E+00   1.543768596E-01   4.712479264E-07   7.156277991E-08   6.732531748E+00   6.575922369E+00   5.981890835E+00   1.559242080E-01   4.619098494E-07   6.963734355E-08   6.817530930E+00   6.637117100E+00   6.267799968E+00
  -2.329870686E-02   1.546074717E-01   4.366008251E-07   6.678407728E-08   6.907937552E+00   6.578189536E+00   6.008828605E+00   1.637837243E-01   4.729717314E-07   7.133337253E-08   7.008905979E+00   6.502055381E+00   6.094381162E+00   1.531012365E-01   4.257764700E-07   6.667313719E-08   6.846585621E+00   6.819618214E+00   5.858165010E+00
  -2.229670808E-02   1.643670230E-01   4.368685920E-07   6.680625885E-08   6.961472576E+00   6.593543931E+00   6.021073406E+00   1.724392469E-01   4.324585475E-07   6.490545381E-08   7.104932121E+00   6.650901611E+00   5.956611641E+00   1.645729506E-01   4.498652785E-07   6.503592239E-08   7.017633210E+00   6.658096265E+00   5.863762555E+00
  -2.129470557E-02   1.749766142E-01   4.363695453E-07   6.717173501E-08   7.020715366E+00   6.608136076E+00   6.059097775E+00   1.864496258E-01   4.394518231E-07   7.007713130E-08   7.142595235E+00   6.532214331E+00   5.953340690E+00   1.847323749E-01   4.618360244E-07   7.352236658E-08   7.030587043E+00   6.763940380E+00   6.119641783E+00
  -2.029270679E-02   1.867144782E-01   4.370491408E-07   6.700349919E-08   7.076273222E+00   6.627547301E+00   6.070236575E+00   1.929588163E-01   4.634050802E-07   7.371330331E-08   6.968191621E+00   6.540175613E+00   6.241222748E+00   2.017207049E-01   4.549007422E-07   6.764305664E-08   7.105189294E+00   6.596848405E+00   6.128055621E+00
  -1.929070614E-02   1.995130867E-01   4.342803432E-07   6.697989848E-08   7.133985546E+00   6.632432114E+00   6.082548394E+00   2.178516589E-01   4.738904941E-07   7.149552918E-08   7.297222653E+00   6.788239420E+00   6.247952338E+00   2.020370944E-01   4.391931857E-07   6.624270671E-08   7.047858784E+00   6.613019001E+00   6.140055992E+00
  -1.828870550E-02   2.141713102E-01   4.313972778E-07   6.667718003E-08   7.199212988E+00   6.649060828E+00   6.084088768E+00   2.179779980E-01   4.072264351E-07   6.475181286E-08   6.971921224E+00   6.624568798E+00   6.003538459E+00   2.359850791E-01   4.291529214E-07   6.536892638E-08   7.291374520E+00   6.671218616E+00   5.810552773E+00
  -1.728670672E-02   2.306240176E-01   4.290483306E-07   6.663732764E-08   7.267363616E+00   6.656105925E+00   6.102786170E+00   2.563656056E-01   4.491880551E-07   6.698637259E-08   7.283929629E+00   6.624285101E+00   6.197892526E+00   2.518760586E-01   4.211833563E-07   7.020750822E-08   7.317621753E+00   6.440666995E+00   6.262207931E+00
  -1.628470607E-02   2.490208359E-01   4.255300102E-07   6.618659256E-08   7.334903696E+00   6.674168551E+00   6.103122849E+00   2.811225681E-01   4.502676330E-07   6.337451449E-08   7.380952315E+00   6.682019245E+00   5.841641017E+00   2.435120421E-01   4.172342697E-07   6.357622917E-08   7.196499314E+00   6.658057540E+00   6.091381575E+00
  -1.528270636E-02   2.699985573E-01   4.203472405E-07   6.534531026E-08   7.407124693E+00   6.675689803E+00   6.084691581E+00   3.158596043E-01   4.258175321E-07   6.155776167E-08   7.518809215E+00   6.636897789E+00   5.845543187E+00   3.045888620E-01   4.099531266E-07   6.666248423E-08   7.386437881E+00   6.600291621E+00   6.015089596E+00
  -1.428070664E-02   2.942629953E-01   4.132844550E-07   6.495742159E-08   7.491321411E+00   6.680073840E+00   6.106618832E+00   3.204301097E-01   4.476136998E-07   7.000210645E-08   7.377747924E+00   6.593905430E+00   6.219135390E+00   3.188553966E-01   4.283516121E-07   6.848027860E-08   7.533887881E+00   6.665049672E+00   6.228664350E+00
