 #         t_pb[s]     Dh+(pole)[cm]     Dhx(pole)[cm]      Dh+(equ)[cm]      Dhx(equ)[cm]
      -9.27071E-03      -2.73958E-11      -7.80737E-12       6.45644E-01       0.00000E+00
      -8.26871E-03      -1.71223E-12      -3.64048E-11       7.19805E-01       0.00000E+00
      -7.26671E-03      -2.65396E-11       5.58153E-11       8.12114E-01       0.00000E+00
      -6.26471E-03       6.63491E-11      -2.71511E-11       9.37092E-01       0.00000E+00
      -5.26271E-03      -4.66584E-11       1.09697E-11       1.09819E+00       0.00000E+00
      -4.70471E-03       5.45752E-11       3.12987E-11       1.26233E+00       0.00000E+00
      -4.50315E-03      -1.48962E-10      -1.55981E-10       1.24672E+00       0.00000E+00
      -4.30160E-03       2.97923E-11       1.60965E-11       1.47791E+00       0.00000E+00
      -4.10004E-03      -4.46885E-11      -6.28430E-11       1.51833E+00       0.00000E+00
      -3.89849E-03       6.80968E-11       2.03374E-11       1.51534E+00       0.00000E+00
      -3.69693E-03       7.66089E-11      -9.97852E-11       1.58727E+00       0.00000E+00
      -3.49537E-03      -2.25571E-10       3.25117E-10       1.72308E+00       0.00000E+00
      -3.29382E-03       1.40450E-10      -7.10329E-11       1.77188E+00       0.00000E+00
      -3.09226E-03      -1.06401E-10      -5.61238E-11       1.84566E+00       0.00000E+00
      -2.89071E-03       1.70243E-11      -5.00146E-11       1.94208E+00       0.00000E+00
      -2.69068E-03      -8.57701E-12      -1.65836E-10       2.08204E+00       0.00000E+00
      -2.49065E-03      -1.37233E-10       3.10476E-10       2.16329E+00       0.00000E+00
      -2.29062E-03       3.68814E-10      -1.79883E-11       2.34544E+00       0.00000E+00
      -2.09059E-03      -6.86166E-11      -1.28540E-10       2.54792E+00       0.00000E+00
      -1.89057E-03      -1.37233E-10      -1.23811E-10       2.60519E+00       0.00000E+00
      -1.69054E-03       3.81680E-10       2.29275E-10       2.61030E+00       0.00000E+00
      -1.49051E-03       3.85968E-11      -7.85429E-11       2.90871E+00       0.00000E+00
      -1.29036E-03      -3.42879E-11      -4.65028E-11       3.10910E+00       0.00000E+00
      -1.09033E-03      -8.57708E-11      -7.41209E-11       3.50478E+00       0.00000E+00
      -8.90304E-04      -2.27293E-10       1.35548E-11       3.97135E+00       0.00000E+00
      -4.90290E-04      -1.41537E-10       9.80313E-11       5.70182E+00       0.00000E+00
      -9.02800E-05       2.14452E-10      -6.91850E-11       1.07540E+01       0.00000E+00
       3.09800E-04       1.64174E-03      -1.37415E-04      -8.32960E-01       0.00000E+00
       7.10000E-04      -1.59047E-03      -7.81409E-04      -1.08053E+01       0.00000E+00
       1.11020E-03       1.08032E-04       7.71781E-04       2.13889E+00       0.00000E+00
       1.51040E-03       9.11677E-05      -6.51217E-04       6.83593E+00       0.00000E+00
       1.91020E-03      -1.73592E-04      -1.06189E-03      -7.85342E-01       0.00000E+00
       2.31040E-03      -1.44198E-03       3.40295E-03      -1.26205E-02       0.00000E+00
       2.71060E-03      -3.78064E-03      -5.91784E-04      -3.63784E+00       0.00000E+00
       3.11080E-03      -5.28899E-03      -2.34905E-03      -5.87933E+00       0.00000E+00
       3.51100E-03       8.76141E-03      -1.14500E-03      -2.69959E-01       0.00000E+00
       3.91120E-03       1.11916E-02      -5.25553E-03       1.73920E+00       0.00000E+00
       4.31140E-03       5.43871E-02       1.21579E-03      -4.39190E+00       0.00000E+00
       4.71160E-03       9.49614E-02       5.47071E-02      -6.36064E+00       0.00000E+00
       5.11180E-03       3.51072E-02       1.14759E-01      -3.54569E+00       0.00000E+00
       5.51200E-03      -5.39303E-02       9.23149E-02      -9.05841E-01       0.00000E+00
       5.91220E-03      -8.82142E-02       9.70781E-03       8.99101E+00       0.00000E+00
