 #         t_pb[s]        <L_e>[B/s]       <L_ae>[B/s]        <L_x>[B/s]        <E_e>[MeV]       <E_ae>[MeV]        <E_x>[MeV]    L_e(pole)[B/s]   L_ae(pole)[B/s]    L_x(pole)[B/s]    E_e(pole)[MeV]   E_ae(pole)[MeV]    E_x(pole)[MeV]     L_e(equ)[B/s]    L_ae(equ)[B/s]     L_x(equ)[B/s]     E_e(equ)[MeV]    E_ae(equ)[MeV]     E_x(equ)[MeV]
  -1.296294928E-01   1.923493709E-10   1.923493709E-10   1.923493709E-10   1.585352473E+01   1.585352473E+01   1.585352473E+01   1.923642589E-10   1.923642589E-10   1.923642589E-10   1.585352499E+01   1.585352499E+01   1.585352499E+01   1.923107330E-10   1.923107330E-10   1.923107330E-10   1.583983904E+01   1.583983904E+01   1.583983904E+01
  -1.286274940E-01   5.914254136E-02   6.116195620E-09   1.332435392E-09   5.262221976E+00   6.637649354E+00   6.303818940E+00   6.213270387E-02   5.501982310E-09   1.174863585E-09   5.276309380E+00   7.177493312E+00   6.892209237E+00   6.247305935E-02   5.117423728E-09   1.138659217E-09   5.279049868E+00   7.560398783E+00   7.188872891E+00
  -1.276254952E-01   1.353544262E-01   2.442931300E-08   5.053530601E-09   5.296016922E+00   5.656119768E+00   5.156091138E+00   1.416132887E-01   2.319191198E-08   4.797967677E-09   5.341572776E+00   5.806670574E+00   5.224552244E+00   1.374937511E-01   2.308012462E-08   4.704804257E-09   5.333504263E+00   5.772236270E+00   5.274914593E+00
  -1.266234964E-01   1.257847059E-01   3.963078958E-08   8.108012338E-09   5.216909775E+00   5.116847443E+00   4.678791197E+00   1.243273803E-01   3.920334037E-08   8.135934882E-09   5.177930456E+00   5.156972236E+00   4.719861970E+00   1.275007376E-01   3.889567517E-08   8.017182169E-09   5.208093610E+00   5.172667717E+00   4.709527944E+00
  -1.256214976E-01   1.094571405E-01   5.247879217E-08   1.057037712E-08   5.165846893E+00   4.758134581E+00   4.384554219E+00   1.125270097E-01   5.299962558E-08   1.044167927E-08   5.150918668E+00   4.775432629E+00   4.423082285E+00   1.104190250E-01   5.197837027E-08   1.058086873E-08   5.159578832E+00   4.778237267E+00   4.422398825E+00
  -1.246194839E-01   9.732226550E-02   6.588232495E-08   1.325578385E-08   5.154372368E+00   4.774555384E+00   4.462548895E+00   9.637845918E-02   6.609868967E-08   1.316513474E-08   5.169691314E+00   4.772422639E+00   4.491051533E+00   1.003557998E-01   6.534344177E-08   1.311096482E-08   5.170334598E+00   4.792726907E+00   4.493116096E+00
  -1.236174852E-01   8.810455870E-02   7.632608894E-08   1.541731384E-08   5.135634911E+00   4.828659877E+00   4.518787712E+00   9.079709232E-02   7.763820933E-08   1.555251259E-08   5.145403407E+00   4.890104640E+00   4.535132269E+00   9.342921842E-02   7.652710169E-08   1.514688869E-08   5.182158580E+00   4.888448413E+00   4.539428020E+00
  -1.226154864E-01   8.074006343E-02   7.493364563E-08   1.510526340E-08   5.096016858E+00   4.847894685E+00   4.523927703E+00   8.132840365E-02   7.135150381E-08   1.502424110E-08   5.102929839E+00   4.867069587E+00   4.548918986E+00   8.325868362E-02   7.255774236E-08   1.504517311E-08   5.077767127E+00   4.853531616E+00   4.563922642E+00
  -1.216134876E-01   7.437635309E-02   6.649925558E-08   1.334960277E-08   5.051567127E+00   4.840395392E+00   4.502655629E+00   7.430310126E-02   6.283643369E-08   1.259960287E-08   5.074698998E+00   4.908891470E+00   4.507251729E+00   7.424022876E-02   6.338446753E-08   1.270817184E-08   5.035327774E+00   4.885758100E+00   4.530922951E+00
  -1.206114888E-01   6.901278505E-02   5.886622524E-08   1.174474262E-08   5.007291955E+00   4.832022562E+00   4.469002489E+00   6.939939173E-02   5.515361109E-08   1.098890695E-08   4.985374618E+00   4.928053807E+00   4.510518639E+00   7.179060416E-02   5.338895654E-08   1.090781196E-08   5.021056698E+00   4.894439530E+00   4.543144966E+00
  -1.196094900E-01   6.418967382E-02   5.591953594E-08   1.123530020E-08   4.969814340E+00   4.823181040E+00   4.494438878E+00   6.418354334E-02   5.116496645E-08   9.793228661E-09   4.950280325E+00   4.860666644E+00   4.345565462E+00   6.601681042E-02   5.082386337E-08   1.034684416E-08   4.966182049E+00   4.848029286E+00   4.528250473E+00
